Student_ID,Login_Frequency,Session_Duration,Quiz_Scores,Assignment_Submissions,Discussion_Forum_Participation,Video_Lecture_Engagement,Exam_Scores,Final_Grade,Dropout_Indicator
S0001,7,73.68,76,2,1,15.66,82,B,0
S0002,20,58.23,54,2,2,4.37,85,C,0
S0003,29,83.92,69,1,3,11.08,67,B,0
S0004,15,46.1,60,8,9,59.85,86,D,0
S0005,11,27.05,59,3,0,9.5,68,C,0
S0006,8,118.0,89,3,6,37.6,96,C,0
S0007,29,102.28,87,6,1,55.01,77,C,0
S0008,21,104.64,55,8,4,38.87,89,C,0
S0009,7,37.53,57,9,14,16.37,69,A,0
S0010,26,14.27,72,9,0,27.38,98,B,0
S0011,19,43.36,96,4,2,92.83,82,D,0
S0012,23,69.08,75,5,11,67.6,61,A,0
S0013,11,45.93,95,2,1,49.6,64,C,0
S0014,11,101.07,92,9,0,1.27,90,F,0
S0015,24,39.87,61,8,6,99.24,88,A,0
S0016,21,116.18,75,3,4,67.15,51,C,1
S0017,4,60.3,62,9,0,31.69,78,B,0
S0018,8,102.62,89,3,5,87.93,90,C,0
S0019,24,31.38,67,9,4,25.84,59,A,0
S0020,3,55.25,74,2,14,54.4,51,A,1
S0021,22,86.95,82,9,2,63.61,60,C,0
S0022,21,25.22,96,8,11,22.11,62,D,0
S0023,2,24.6,89,9,6,97.84,59,C,0
S0024,24,116.65,92,5,10,74.82,63,C,0
S0025,12,88.61,61,2,9,55.78,67,A,0
S0026,6,14.52,93,8,8,18.06,58,C,0
S0027,2,53.87,85,6,13,5.39,88,B,1
S0028,28,57.69,97,8,12,32.01,77,D,0
S0029,21,91.84,53,5,12,75.32,52,D,0
S0030,1,37.59,54,2,8,26.93,69,C,0
S0031,12,30.28,86,6,13,53.96,55,D,0
S0032,26,18.9,57,5,8,72.79,76,A,0
S0033,22,57.11,91,5,1,10.79,51,C,1
S0034,29,85.73,98,1,2,68.53,78,B,0
S0035,12,16.4,77,2,6,9.19,87,D,0
S0036,25,110.67,80,8,4,96.51,52,B,0
S0037,17,58.66,58,3,1,48.84,65,C,0
S0038,27,36.38,78,3,2,15.07,79,D,0
S0039,27,20.33,63,8,9,34.24,89,A,0
S0040,10,30.12,89,8,5,41.34,51,B,0
S0041,28,112.81,90,2,12,75.82,66,C,0
S0042,28,80.21,71,8,6,74.34,90,B,0
S0043,16,66.84,60,1,8,61.19,61,B,1
S0044,15,82.28,72,6,0,10.59,84,B,0
S0045,15,57.92,50,8,10,15.16,92,A,0
S0046,19,90.3,95,3,6,9.38,50,D,0
S0047,12,15.25,86,8,7,57.72,94,C,0
